num;volume;mass;firm;TSS;TA;zs;theta;AE;color;dE2000;L1;A1;B1;C1;H1;WI_CIE1;L2;A2;B2;C2;H2;WI_CIE2
70;125,53;151,64;0,82;11,7;0,90;0,8761;-33,863;C;48,16;39,46;24,87;7,08;3,60;7,96;26,97;-3770,00;61,24;9,59;42,31;43,38;77,22;-22094,00
71;122,51;159,93;1,30;11,8;0,90;0,8535;-36,685;A;58,22;18,09;23,15;5,57;0,42;5,58;4,29;-91,00;37,33;15,00;20,18;25,13;53,39;-16155,00
72;117,54;158,66;0,56;11;0,51;1,0951;-39,226;A;51,715;35,99;21,20;5,36;7,55;9,26;54,60;-9435,00;57,98;15,57;40,37;43,26;68,91;-21704,00
73;129,89;157,08;2,33;10,7;0,94;1,2026;-41,06;C;46,09;25,44;31,99;14,15;12,85;19,11;42,26;-11559,00;55,98;15,23;34,60;37,79;66,25;-19364,00
74;125,74;157,32;1,57;10,9;0,93;1,0631;-40,01;B;54,075;27,25;23,26;3,52;1,26;3,74;19,69;-1169,00;47,07;18,03;32,09;36,81;60,66;-20738,00
75;133,75;149,62;0,61;12,2;0,79;0,9134;-34,818;C;52,7;35,34;21,38;4,23;1,72;4,57;22,15;-1891,00;54,49;13,81;41,49;43,71;71,58;-23761,00
76;123,04;144,98;2,34;11,2;0,90;1,1155;-38,207;C;41,965;39,58;34,01;17,08;17,14;24,20;45,10;-14530,00;67,88;1,26;45,25;45,27;88,40;-21783,00
77;105,42;153,68;1,48;11,1;0,78;0,9588;-36,236;A;58,49;19,50;23,36;5,27;0,49;5,29;5,33;-177,00;37,08;17,77;23,93;29,81;53,40;-18820,00
78;121,88;150,52;0,88;9,8;0,73;0,9978;-37,62;A;54,84;18,15;26,02;4,96;5,03;7,07;45,39;-5351,00;41,15;19,12;23,30;30,14;50,62;-16860,00
79;121,38;154,84;0,72;11,2;0,76;0,929;-35,46;B;54,21;31,21;22,75;8,63;-5,41;10,19;-327,44;7082,00;48,01;16,22;29,27;33,46;61,02;-18870,00
80;116,15;156,4;0,65;11,9;0,75;0,8927;-34,103;B;48,69;33,40;26,08;3,18;2,20;3,86;34,74;-2091,00;56,30;13,48;38,36;40,66;70,64;-21481,00
81;120,67;150,29;0,83;10,7;0,66;0,9971;-36,496;C;49,625;35,83;23,72;4,83;6,46;8,07;53,18;-7500,00;58,75;11,05;41,65;43,09;75,13;-22549,00
82;121,23;157,23;0,91;11,1;0,83;0,9393;-36,515;C;50,5;37,61;22,71;5,14;-0,73;5,19;-303,49;1338,00;57,60;12,83;38,10;40,20;71,38;-20935,00
83;117,29;148,68;1,21;9,4;0,79;0,8933;-34,126;B;53,06;20,63;26,11;4,20;6,18;7,49;55,79;-6703,00;44,86;18,08;26,02;31,69;55,20;-17634,00
84;116,05;150,65;3,98;10,3;0,98;1,0794;-38,422;C;44,06;22,62;36,16;18,88;20,75;28,06;47,68;-16593,00;56,85;13,52;36,08;38,53;69,44;-20044,00
85;122,70;155,7;0,90;9,3;0,70;1,0598;-38,882;B;47,36;33,08;28,07;4,51;2,79;5,30;31,68;-2528,00;57,01;12,40;40,42;42,28;72,94;-22425,00
86;120,62;160,27;0,90;12;0,80;0,8444;-34,357;A;48,835;29,80;27,54;1,72;1,99;2,63;49,18;-1741,00;53,14;14,70;36,53;39,38;68,10;-21508,00
87;118,61;153,52;2,52;9,4;0,77;1,0327;-39,755;A;52,67;17,54;28,78;3,29;4,81;5,82;55,62;-4715,00;41,58;16,09;24,79;29,56;57,00;-18081,00
88;124,53;157,36;1,15;9;0,70;1,0342;-38,744;A;50,89;20,24;28,82;7,43;6,40;9,81;40,80;-6276,00;46,95;18,90;28,29;34,03;56,24;-18338,00
89;125,28;147,75;1,37;10;0,84;0,86;-33,09;B;49,16;35,36;24,05;2,58;2,02;3,27;38,04;-2065,00;57,65;9,49;35,94;37,17;75,21;-20062,00
90;118,36;154,48;1,87;9,6;0,87;1,0784;-37;B;53,185;25,79;23,42;5,27;3,40;6,27;32,87;-3780,00;48,59;17,53;26,75;31,97;56,73;-16948,00
91;116,62;161,62;1,83;10,8;0,76;1,0807;-39,461;B;51,535;30,19;23,75;4,69;5,37;7,15;48,86;-6177,00;53,06;16,41;36,49;40,01;65,78;-21332,00
92;127,60;150,89;2,06;11,4;0,89;0,9124;-33,469;B;47,885;38,38;24,84;1,13;4,39;4,54;75,52;-4937,00;61,28;10,41;41,81;43,09;76,01;-21747,00
93;130,33;155,02;2,08;11;0,85;0,8903;-34,095;C;49,01;32,33;26,53;4,59;3,01;5,49;33,20;-2945,00;55,23;13,24;40,67;42,76;71,97;-23129,00
94;114,92;155,97;2,50;9,9;0,87;1,1382;-39,332;C;53,51;26,60;23,29;4,69;1,43;4,91;16,96;-1360,00;47,74;14,88;28,94;32,53;62,78;-18875,00
95;127,06;151,97;1,91;11,2;0,86;0,9464;-35,752;A;50,895;19,78;28,86;3,63;6,85;7,75;61,99;-6916,00;45,78;15,87;28,77;32,87;61,12;-19354,00
96;122,31;154,89;2,72;10,8;0,83;1,0429;-38,822;B;48,28;30,58;25,91;2,90;4,34;5,22;56,24;-4641,00;55,97;13,14;28,18;31,10;65,00;-15834,00
97;131,48;152,8;2,24;10;0,90;1,0019;-34,573;C;48,22;27,70;28,60;2,00;4,16;4,62;64,32;-4070,00;52,87;13,88;35,51;38,12;68,64;-21119,00
98;115,92;152,44;7,63;9,5;0,75;1,3921;-44,45;B;45,935;34,26;29,23;5,43;5,65;7,85;46,17;-5486,00;59,80;10,84;43,27;44,60;75,92;-22992,00
99;119,28;151,57;1,09;13,6;0,80;1,3074;-37,673;B;53,135;27,64;23,56;2,23;2,93;3,68;52,72;-3263,00;48,70;17,30;32,78;37,06;62,17;-20662,00
100;118,58;156,3;7,27;11,6;0,75;1,3502;-43,72;B;48,93;25,26;28,50;4,64;5,96;7,55;52,10;-5980,00;51,62;17,20;32,09;36,41;61,80;-19251,00
